id,treatment
1,3
2,3
3,3
4,5
5,5
6,3
7,3
8,7
9,3
10,5
11,5
12,5
13,3
14,7
15,7
16,7
17,7
18,3
19,5
20,3
21,7
22,5
23,3
24,3
25,3
26,7
27,5
28,5
29,3
30,3
31,3
32,7
33,7
34,7
35,7
36,5
37,7
38,3
39,3
40,5
41,3
42,5
43,5
44,7
45,3
46,5
47,7
48,3
49,3
50,3
51,7
52,7
53,5
54,3
55,7
56,7
57,3
58,7
59,7
60,5
61,7
62,5
63,7
64,3
65,3
66,5
67,7
68,5
69,7
70,5
71,3
72,3
73,3
74,7
75,5
76,7
77,5
78,7
79,5
80,3
81,7
82,7
83,5
84,3
85,3
86,3
87,3
88,3
89,5
90,5
91,5
92,3
93,3
94,3
95,3
96,3
97,7
98,3
99,7
100,3
101,3
102,3
103,3
104,3
105,3
106,5
107,7
108,7
109,5
110,3
111,7
112,7
113,3
114,5
115,7
116,7
117,7
118,3
119,5
120,7
121,7
122,3
123,7
124,5
125,3
126,3
127,3
128,3
129,5
130,7
131,3
132,7
133,5
134,5
135,3
136,5
137,5
138,5
139,7
140,5
141,7
142,5
143,5
144,7
145,7
146,3
147,3
148,3
149,5
150,5
151,3
152,3
153,3
154,7
155,5
156,7
157,7
158,7
159,7
160,5
161,5
162,7
163,3
164,5
165,7
166,5
167,5
168,5
169,3
170,7
171,7
172,3
173,7
174,7
175,5
176,7
177,3
178,3
179,5
180,7
181,5
182,7
183,7
184,5
185,7
186,7
187,5
188,5
189,5
190,7
191,7
192,7
193,5
194,3
195,7
196,5
197,3
198,7
199,7
200,7
201,3
202,7
203,3
204,7
205,3
206,5
207,5
208,3
209,5
210,3
211,5
212,7
213,7
214,3
215,3
216,3
217,3
218,7
219,7
220,3
221,7
222,5
223,7
224,7
225,7
226,3
227,3
228,3
229,7
230,3
231,7
232,5
233,7
234,5
235,5
236,5
237,3
238,3
239,7
240,7
241,3
242,5
243,7
244,5
245,3
246,3
247,7
248,5
249,5
250,7
251,3
252,3
253,5
254,3
255,5
256,5
257,5
258,5
259,3
260,5
261,7
262,7
263,5
264,7
265,5
266,7
267,3
268,3
269,5
270,7
271,5
272,7
273,7
274,7
275,3
276,7
277,5
278,3
279,5
280,5
281,5
282,7
283,7
284,3
285,3
286,5
287,7
288,5
289,3
290,7
291,3
292,7
293,3
294,7
295,7
296,3
297,5
298,5
299,5
300,7
301,3
302,3
303,7
304,3
305,7
306,7
307,7
308,3
309,7
310,3
311,5
312,7
313,7
314,5
315,7
316,5
317,3
318,7
319,5
320,7
321,3
322,5
323,3
324,5
325,5
326,3
327,7
328,3
329,3
330,3
331,3
332,3
333,7
334,5
335,3
336,3
337,5
338,5
339,7
340,3
341,7
342,7
343,3
344,5
345,3
346,7
347,3
348,7
349,5
350,7
351,3
352,7
353,7
354,3
355,7
356,5
357,5
358,5
359,7
360,5
361,7
362,3
363,5
364,7
365,5
366,7
367,7
368,3
369,5
370,7
371,3
372,5
373,3
374,3
375,5
376,3
377,3
378,5
379,7
380,3
381,5
382,3
383,7
384,7
385,5
386,5
387,5
388,5
389,7
390,7
391,7
392,3
393,7
394,7
395,5
396,3
397,7
398,7
399,7
400,7
401,5
402,5
403,3
404,7
405,3
406,3
407,3
408,5
409,3
410,5
411,5
412,5
413,3
414,7
415,3
416,5
417,5
418,3
419,7
420,5
421,3
422,7
423,5
424,5
425,7
426,5
427,3
428,7
429,5
430,5
431,5
432,3
433,3
434,5
435,3
436,7
437,5
438,5
439,7
440,3
441,7
442,7
443,7
444,7
445,7
446,3
447,5
448,3
449,7
450,7
451,5
452,7
453,5
454,5
455,3
456,5
457,3
458,5
459,7
460,7
461,3
462,7
463,7
464,5
465,7
466,5
467,3
468,3
469,5
470,3
471,5
472,5
473,5
474,3
475,7
476,3
477,5
478,7
479,5
480,7
481,5
482,3
483,3
484,5
485,5
486,3
487,3
488,7
489,3
490,7
491,7
492,5
493,5
494,5
495,7
496,5
497,3
498,5
499,5
500,3
501,7
502,7
503,3
504,7
505,3
506,3
507,3
508,5
509,5
510,5
511,3
512,7
513,3
514,5
515,3
516,3
517,7
518,5
519,7
520,7
521,7
522,5
523,3
524,7
525,5
526,5
527,5
528,3
529,3
530,3
531,3
532,3
533,3
534,5
535,5
536,5
537,3
538,5
539,5
540,5
541,3
542,5
543,7
544,3
545,7
546,5
547,5
548,5
549,5
550,5
551,7
552,7
553,5
554,3
555,5
556,5
557,5
558,7
559,5
560,7
561,3
562,7
563,5
564,3
565,3
566,3
567,3
568,3
569,5
570,5
571,5
572,5
573,5
574,3
575,3
576,5
577,5
578,3
579,7
580,7
581,7
582,3
583,5
584,5
585,7
586,3
587,3
588,7
589,5
590,5
591,7
592,7
593,5
594,5
595,7
596,3
597,3
598,5
599,7
600,7
601,5
602,7
603,3
604,7
605,7
606,3
607,7
608,3
609,5
610,7
611,3
612,5
613,3
614,3
615,7
