id,sire,dam,dam.pop,sire.pop
1,1001,933,da,da
2,1002,999,cu,cu
3,1003,995,cu,cu
4,1004,946,mc,mc
5,1005,940,da,da
6,1006,974,tx,tx
7,1007,962,tc,tc
8,1008,937,da,da
9,1009,907,tz,tz
10,1010,927,mt,mt
11,1011,926,mt,mt
12,1012,932,da,da
13,1013,920,fp,fp
14,1014,993,cu,cu
15,1015,933,da,da
16,1016,975,tx,tx
17,1017,923,mt,mt
18,1018,943,mc,mc
19,1019,924,mt,mt
20,1020,979,tx,tx
21,1021,975,tx,tx
22,1022,996,cu,cu
23,1023,952,ml,ml
24,1024,981,cl,cl
25,1025,992,cu,cu
26,1026,962,tc,tc
27,1027,974,tx,tx
28,1028,940,da,da
29,1029,905,tz,tz
30,1030,930,mt,mt
31,1031,963,tc,tc
32,1032,913,fp,fp
33,1033,926,mt,mt
34,1034,945,mc,mc
35,1035,972,tx,tx
36,1036,958,ml,ml
37,1037,971,tx,tx
38,1038,961,tc,tc
39,1039,908,tz,tz
40,1040,950,mc,mc
41,1041,944,mc,mc
42,1042,949,mc,mc
43,1043,916,fp,fp
44,1044,914,fp,fp
45,1045,957,ml,ml
46,1046,952,ml,ml
47,1047,990,cl,cl
48,1048,995,cu,cu
49,1049,944,mc,mc
50,1050,923,mt,mt
51,1051,958,ml,ml
52,1052,992,cu,cu
53,1053,939,da,da
54,1054,959,ml,ml
55,1055,912,fp,fp
56,1056,959,ml,ml
57,1057,976,tx,tx
58,1058,938,da,da
59,1059,998,cu,cu
60,1060,989,cl,cl
61,1061,957,ml,ml
62,1062,967,tc,tc
63,1063,976,tx,tx
64,1064,934,da,da
65,1065,985,cl,cl
66,1066,978,tx,tx
67,1067,981,cl,cl
68,1068,999,cu,cu
69,1069,981,cl,cl
70,1070,975,tx,tx
71,1071,977,tx,tx
72,1072,919,fp,fp
73,1073,935,da,da
74,1074,921,mt,mt
75,1075,924,mt,mt
76,1076,997,cu,cu
77,1077,976,tx,tx
78,1078,953,ml,ml
79,1079,927,mt,mt
80,1080,930,mt,mt
81,1081,973,tx,tx
82,1082,905,tz,tz
83,1083,959,ml,ml
84,1084,905,tz,tz
85,1085,991,cu,cu
86,1086,936,da,da
87,1087,969,tc,tc
88,1088,906,tz,tz
89,1089,949,mc,mc
90,1090,951,ml,ml
91,1091,935,da,da
92,1092,959,ml,ml
93,1093,918,fp,fp
94,1094,928,mt,mt
95,1095,995,cu,cu
96,1096,916,fp,fp
97,1097,934,da,da
98,1098,980,tx,tx
99,1099,979,tx,tx
100,1100,932,da,da
101,1101,932,da,da
102,1102,974,tx,tx
103,1103,978,tx,tx
104,1104,902,tz,tz
105,1105,982,cl,cl
106,1106,955,ml,ml
107,1107,905,tz,tz
108,1108,921,mt,mt
109,1109,912,fp,fp
110,1110,920,fp,fp
111,1111,956,ml,ml
112,1112,914,fp,fp
113,1113,991,cu,cu
114,1114,944,mc,mc
115,1115,909,tz,tz
116,1116,920,fp,fp
117,1117,960,ml,ml
118,1118,950,mc,mc
119,1119,992,cu,cu
120,1120,922,mt,mt
121,1121,964,tc,tc
122,1122,937,da,da
