id,flowerday,FMflowerdiff,germday,espigalength,shoot,root,finalheight,finalstemw,numlvs,numflwrleaves,length3leaf,width3leaf,red,green,blue
1,83,3,21,8.1,2.74,1.22,88,4.68,4,3,20.2,1.9,126.834535304975,72.065,64.1154910193541
2,83,4,21,7.2,3.35,0.93,107.8,3.65,6,3,10.2,1.6,135.80120030476,84.692,77.2695815222122
3,90,2,19,10.2,3.21,1.39,106.5,6.34,5,2,23.5,2.3,85.4829070899704,60.733,53.7038846193501
4,95,3,21,12.7,3.81,2.02,65.3,5.97,3,2,18.1,2.1,134.725920252687,79.436,72.1724680492937
5,82,5,21,8.4,3.27,1.05,107.2,5.1,5,3,13.2,2.2,167.195682612696,97,89.1197502863688
6,116,6,79,8.5,0.71,0.32,46.1,4.24,5,2,16.4,1.3,115.66404004435,108.69,65.0709850489405
7,86,2,21,9.9,2.45,0.92,104.4,4.47,5,2,15.4,2.1,167.3963016497,104.257,96.6445587849807
8,95,1,21,10,3.1,2.18,70.4,6.04,4,2,24.5,2.7,245.038515915256,189.657,143.765837312481
9,98,4,21,8.7,2.85,1.98,80.8,5.43,6,2,18.9,1.7,151.883748317821,67.456,72.2214515932181
10,85,0,27,7.5,2.24,0.6,89.6,4.07,5,3,11.6,1.8,141.217583252891,91.433,79.3965829597977
11,79,6,22,7.7,3.02,0.96,95.1,4.17,4,2,21.8,1.9,117.624256994819,66.361,65.9548016115968
12,86,0,24,7.6,2.96,1.12,87.2,3.35,5,3,23.8,1.7,183.711938445342,128.415,122.364526812878
13,100,3,20,9.9,4.66,2.59,111.3,5.74,5,3,23.1,2.4,149.905976683426,74.3,79.207589036232
14,103,1,33,8.3,4.97,1.78,115.8,7.04,4,3,24.3,2.4,148.443293080402,117.241,110.415644169108
15,84,0,21,4.6,2.51,1.12,83.7,4.9,4,2,28.5,1.6,157.935639278425,101.664,83.1039314536938
16,90,5,22,7.3,3.89,1.5,128.8,5.01,5,3,10,1.8,226.877490859652,148.566,124.41704220102
17,86,0,21,7.3,2.58,1.28,81.8,5.18,5,3,22.7,2.1,203.182294560241,130.784,120.561825547497
18,90,0,21,8.6,3.52,1.57,112.7,5.31,5,2,16.7,2.5,161.715616674934,103.079,87.3641247709915
19,86,0,22,11.5,3.36,1.13,108.6,4.54,5,3,17.2,1.8,174.999606119729,112.01,102.315653660706
20,85,0,20,11,2.54,1.11,90.4,4.04,5,3,18.5,2,153.978018208317,85.312,88.4293383796983
21,86,3,21,7.7,4.03,1.29,140.3,5.17,5,2,18.1,2.3,213.242923532366,132.564,128.697762349969
22,91,4,21,6.8,3.71,1.66,113.3,5.01,5,3,14.5,1.8,123.761506629552,87.928,87.7432511879428
23,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,90,0,21,6.5,4.63,1.1,125.7,5.64,6,3,18,1.5,236.232855646806,170.027,114.09939803469
25,96,0,20,4.2,3.99,1.26,98.1,5.8,5,3,21.2,2.2,158.180370746098,71.506,81.6416294251118
26,85,3,19,10.2,2.33,0.79,103.7,4.3,5,3,20.4,2.1,153.521649953627,84.382,89.4070309584024
27,86,3,23,8.8,3.21,1.2,114.7,4.11,5,2,17.5,2.3,186.619451146483,125.731,117.413393332327
28,91,2,25,7.6,4.67,1.59,133.5,6,6,2,12.3,2.3,152.478835904507,84.474,88.4126188133538
29,102,NA,22,5.2,2.72,1.11,23,7.84,8,7,21.4,1.9,141.073197657492,126.921,116.677254841805
30,96,3,32,12.3,4.38,1.09,137.6,5.54,5,3,15.9,1.9,131.420400717615,74.954,66.3987805159234
31,87,2,19,9.8,3.25,1.33,136.6,5.54,5,3,16.5,2.1,177.845532164619,152.045,147.745948957719
32,94,0,22,7,3.56,1.7,89,5.55,5,3,20,2.4,117.278253270888,74.753,64.3551667069453
33,86,0,23,6.4,3.85,1.08,84,5.01,6,4,14.9,2,101.200492784979,73.962,74.3425421992041
34,85,2,21,6.4,3.08,1.05,107.6,4.82,5,3,10.4,2,122.283916452696,89.773,88.729636070422
35,93,2,21,11.8,3.9,1.82,140.4,5.42,5,3,17.5,2.3,142.349990054738,81.937,84.8103519447768
36,104,4,46,12.6,3.79,1.93,108.4,6.05,4,2,29.4,2.8,114.88508148608,77.269,73.3177165213926
37,91,1,23,6.1,3.69,1.73,75.5,5.39,5,3,13.5,2.4,172.278466141159,119.167,93.4375503588617
38,91,2,21,10.5,3.57,1.83,109.6,5.34,5,2,17.5,2.2,135.230156525057,79.968,83.78313769459
39,116,6,32,13.5,7.6,3,125,7.28,6,4,18,2,93.0008822674575,44.899,48.5778440357104
40,85,0,22,3.7,2.65,0.8,94.2,3.88,5,3,18.8,2.1,132.769512842352,78.805,81.3490612017092
41,86,4,20,13.6,4.35,1.33,128.7,4.83,4,2,33.8,2.5,208.331676454112,137.285,132.953181839846
42,89,5,21,10.3,3.22,1.23,124.2,5.46,5,3,24.3,2.3,163.3553988235,106.946,100.457892231989
43,90,4,21,9.9,3.49,2.01,122.2,5.91,5,2,14.1,1.9,151.769958110566,56.364,66.0190590623934
44,99,3,21,8.9,4.68,2.77,121.1,6.55,6,3,16.2,1.7,172.40973560493,105.188,110.128842460105
45,102,7,39,11.2,3.52,3.09,77.2,6.48,5,3,21,2.7,172.899893358688,137.866,137.814485686468
46,128,4,77,13,4.77,2.03,66.9,6.13,4,2,36.3,2.6,136.217036356554,80.913,73.1816282517318
47,95,5,22,14.7,3.52,1.35,68.3,5.61,5,2,35.1,2.7,182.341167578889,131.927,130.965489261664
48,92,2,21,8.3,3.26,0.89,132.8,4.43,4,2,22,2.3,105.138725048243,56.804,64.6412914278963
49,86,4,21,11.3,3.15,1.16,91.3,4.8,6,2,18.2,2.5,183.180813651419,88.151,100.176014023955
50,86,0,28,8.5,3.25,1.27,77.7,4.06,5,2,17.7,2.1,183.005124715945,100.318,94.9538941320239
51,98,2,23,13.5,3.85,1.84,106.1,7.3,6,3,15.3,2.4,139.720266106612,66.176,72.451746651933
52,93,4,21,9.1,4.68,2.11,136.2,6.4,6,3,15.4,2.2,134.325730514224,82.529,83.7133613007066
